director_name,director_score
Ryan Fleck,2694973
Kevin Brodie,2148212
Gregory Hoblit,30916118
David O. Russell,84276458
Anthony Russo,185720634
Lloyd Kaufman,23000
John Francis Daley,58879132
Charles Robert Carner,4131640
Asghar Farhadi,7098492
Garth Jennings,51019112
Sean McNamara,27132702
Christopher Spencer,59696176
Gary Winick,50633939
Ang Lee,65850588
Fred Schepisi,2326407
George Jackson,19281235
Simon West,82816772
Hal Haberman,6387
Eddie O'Flaherty,5199
Morgan Spurlock,13680406
Alejandro Monteverde,7264283
Don Coscarelli,7282851
Mikael Håfström,41538679
Robert Altman,20977080
Li Zhang,127437
Michael Bay,156573646
Rowdy Herrington,16372049
Christian Carion,1050445
Patrick Gilmore,26288320
Blake Edwards,5000000
Frederik Du Chau,35952314
Nick Hamm,14334645
Paul Michael Glaser,38122105
Rawson Marshall Thurber,126276498
Alice Wu,1186323
Michael Cuesta,1793737
J.A. Bayona,13077951
Phyllida Lloyd,86831823
Boaz Yakin,58473535
Jake Schreier,17657851
Sidney Lumet,17078655
Christophe Barratier,3629758
P.J. Hogan,126805112
Nicole Holofcener,9781022
Dan Scanlon,268488329
Jean-Pierre Jeunet,10182464
Dan Trachtenberg,71897215
Allen Coulter,19057024
Fenton Bailey,475143
Kris Isacsson,20035310
Richard Dutcher,798341
Sam Fell,50818750
John Boorman,13491653
Jeff Burr,1400000
Gary McKendry,25093607
Alejandro G. Iñárritu,15258560
Diane English,26896744
Dominique Othenin-Girard,11642254
J Blakeson,34912982
Matthew O'Callaghan,58336565
Robin Budd,48423368
Lee Unkrich,414984497
Masayuki Ochiai,25926543
F. Gary Gray,77829116
Angela Robinson,33049398
James Cameron,290547093
Mark A.Z. Dippé,54967359
Ira Sachs,1506998
Daniel Sackheim,17951431
Michel Hazanavicius,44667095
Stephan Elliott,9557664
C. Jay Cox,819939
James Gartner,42643187
Sam Mendes,161204662
Seth Gordon,127295611
Guy Maddin,39659
Mike Figgis,16184070
Sam Raimi,185784195
Joan Chen,37752931
Richard Montoya,79043
Jaume Collet-Serra,51142756
Andrzej Bartkowiak,36126361
Julie Davis,33598
Stephen Norrington,68231832
Raja Gosnell,110527036
Shawn Levy,84447252
Andrea Di Stefano,106869
Heidi Ewing,100675
Tod Williams,84749884
Gary Sherman,14114488
Peter Farrelly,127175354
Tom Dey,61150816
John Carl Buechler,19170001
Boris Rodriguez,1521
Guillaume Canet,112445
Brian Henson,27281507
Roger Kumble,26742807
Fred Walton,12947763
Gary Halvorson,11634458
Katsuhiro Ôtomo,410388
Karim Aïnouz,20262
Cory Edwards,51053787
Ric Roman Waugh,42919096
Huck Botko,535249
Michael Meredith,19348
Christian Duguay,17517536
Pete Jones,119841
Eric Valette,26876529
Richard Shepard,4655082
Tim Johnson,169902230
Paul Schrader,1070520
