actor_name,actor_score
Kate McKinnon,118099659
Ken Foree,16901126
Janeane Garofalo,22291307
Alyson Hannigan,69339256
Madison McKinley,142614158
Cliff Edwards,84300000
Yeardley Smith,165384922
François Berléand,3629758
Cole Hauser,42889155
Robert Wagner,102105552
Marian Seldes,22961024
Will Oldham,556147
Kyra Sedgwick,58731209
Larry Poindexter,4000000
Edgar Buchanan,39552600
America Ferrera,54306874
Hugh Bonneville,51178893
Deborah Mailman,3137729
Kyle Schmid,31264876
Sharon Lawrence,5108820
Michael McElhatton,828
Amber Armstrong,107917283
Daniel Franzese,92401
Eugenie Bondurant,37023395
Zachery Ty Bryan,62494975
Catherine Tate,42776259
Jordan Scovel,24705
Griffin Cleveland,33631221
Robin Sachs,71423726
Larry Blamire,110536
Vincent Schiavelli,100616218
Dalia Hernández,50859889
Joe Mantegna,29024109
Peter Hermann,4556
Steve Pemberton,32553210
Alan David,8047690
Justin Timberlake,68865078
Patrick Fugit,34536780
Gabriel Bateman,70399926
Matheus Nachtergaele,5595428
Mary Lynn Rajskub,62659320
Gastón Pauls,1221261
Fiona Glascott,38317535
Jonathan Sadowski,76316866
Brian O'Halloran,13644988
Don Ameche,90400000
Natasha Henstridge,34961711
David Denman,25926543
Judith Barsi,34427929
Jim Parrack,84629772
Keir O'Donnell,350123553
Bunta Sugawara,10049886
Kevin Chamberlin,38722690
Gabriel Damon,48092846
Kirk Baltz,26525834
Alan Rickman,136328239
Anna-Louise Plowman,60470220
Scott Takeda,2711210
Bonnie Somerville,58156435
Natasha Richardson,47740689
Xinhua Jiang,5858
Sean Whalen,40557
David Frederick White,11798
Josh Hopkins,30513940
Stuart Wilson,32000000
Françoise Yip,32333860
John Reeves,1111
Greg Germann,20934353
Parminder Nagra,32541719
Ken Bevel,33451479
Shaun Parkes,8806463
Alonna Shaw,30102717
Elizabeth Streb,21199
Julian Glover,105847898
Marco Treviño,12188642
Rosemarie DeWitt,43448475
Zahn McClarnon,73215310
Mimi Kirkland,71346930
Sergio Calderón,17427926
Shah Rukh Khan,3315853
Abigail Spencer,31683786
Kiersey Clemons,36382961
Adam LeFevre,5433025
Lisa Wilcox,22168359
Kathryn Joosten,109993847
AJ Michalka,71646951
Ron Silver,766487
Joe Howard,2223990
Sarah Polley,4332156
Richard Roxburgh,73912343
Maurice Compte,10499968
Paul Scheer,57011847
Chad Lindberg,45688963
Eddie Griffin,19204035
Celia Imrie,39883866
Mackenzie Davis,26049082
Rufus Sewell,45312069
Lloyd Kaufman,23000
Garvin Cross,32333860
Rekha,4109095
Catherine Lambert,44566004
Wood Harris,12458702
Dylan Moran,41084168
Penn Jillette,60507228
Terence Maynard,12189514
Scott Weinger,217350219
Brent David Fraser,13493
Kiernan Shipka,90820
Mark Bazeley,449558
Kevin Alejandro,6563357
Danielle von Zerneck,54215416
Kate Dickie,25138292
Tom Waits,25600000
Sam Jaeger,59068786
Eva Green,104843512
Kodi Smit-McPhee,69225466
Man Li,6565495
Yaya DaCosta,17682218
Mitchell Ryan,21570742
Jonathan Morgan Heit,57011847
Michelle Krusiec,80276912
Al Leong,34992519
Jack Davenport,39235644
Candice Bergen,82761588
Lamman Rucker,28888764
Paterson Joseph,25857987
Gregg Henry,14085667
Reece Ritchie,45449648
Paula Jai Parker,22201636
Gillian Jacobs,18307358
Richard Burgi,49841009
Zackary Steven Graham,33349949
Conleth Hill,5306447
Sandrine Holt,25640317
Natalie Canerday,45661
Garrett Clayton,1064277
Joanna Lumley,53337608
Nicole Scherzinger,179020854
Nick Damici,2367962
Dan Hedaya,25107212
David Fine,15277274
Peter Jason,33071408
Jean-Baptiste Maunier,3629758
Drea de Matteo,19976073
Kevin Rahm,1789892
Anil Kumar,902835
Nikki Griffin,62494975
Tom Cullen,212479
Susan Hogan,34793160
Tina Desai,33071558
Gilbert R. Hill,42610000
Angela Featherstone,2540494
Dalip Singh,158115031
Linda Fiorentino,88744744
Nicholas Elia,43929341
Susan Blommaert,15745694
Honglei Sun,2027658
Adelaide Kane,64423650
Ian Gamazon,70071
John Lynch,11883495
Tom Sturridge,7994115
Bonnie Lee Bouman,4063
Hervé Villechaize,21000000
Illeana Douglas,17887043
Jason Flemyng,54990468
Milan Lasica,617228
Gillian White,2185266
Jin Akanishi,38297305
Dan Bilzerian,125069696
Bob Neill,17473245
Harry Treadaway,4122376
Tony Noble,1987287
Pam Ferris,16005978
Tristan Mack Wilds,26285281
Paul Sparks,3707794
Patrick Wilson,1007962
Wayne Pygram,2807854
Ian McNeice,1987287
Anamaria Marinca,1185783
Jay Mohr,32997840
Josh Zuckerman,213079163
Renee Olstead,31537320
John Macmillan,40247512
T.V. Carpio,24343673
Yetta Gottesman,76806312
Jonathan D. Mellor,27024
Lindsay Price,4992159
Harley Jane Kozak,92823600
Bryce Dallas Howard,138431338
Catherine Hicks,33244684
Craig Conway,26005908
Janet Jackson,75411865
Dallas Roberts,59809790
Jun Kunimura,770629
Mario Lopez,60923325
Carlos Alazraqui,20339754
Allen Payne,19900000
Nicholas Rowe,4250320
Carmen Maura,12899702
Cary-Hiroyuki Tagawa,56952627
Shauna Macdonald,26005908
Alden Ehrenreich,17048196
Benoît Magimel,182730
Vera Miles,32000000
Mike Dopud,20133664
William Mapother,8712564
Marcia Wallace,183132370
Keenen Ivory Wayans,12814765
Vivica A. Fox,40067820
Manny Perez,110000
Chris Cox,425899
Jeffrey Markle,49185998
Michael Nyqvist,209364921
Randall Park,47555720
Sarah Drew,10429707
Karra Elejalde,38108
Martin Lucey,1829142
Jacob Tremblay,42847719
Todd Bridges,7707563
Padraic Delaney,1829142
Jason Douglas,74098862
Zach McGowan,55942830
Bob Dylan,321952
Carmen Electra,50744364
Leonard Nimoy,106107616
Michael J. Burg,28747570
Virginia Madsen,33372820
Bob Saget,14018364
Christian Berkel,16659314
Jiao Xu,206678
Daniel Zettel,10230
Jon Gries,34890628
Jean Caffeine,1227508
Ian Bohen,6387
Patricia Velasquez,202007640
Dave Allen,37188667
Gretchen Mol,14023253
Rebecca Gayheart,44455658
Robin Atkin Downes,87935915
Clint Jordan,47111
Chloë Grace Moretz,54627290
Martin Starr,35193551
Slim Pickens,14873
Sarah Wynter,15593
Garrett Morris,5800392
Sydney Pollack,87429529
Christopher Webster,40566655
Mikki Padilla,19184015
Sean Connery,45500797
James Franco,108666270
Lisa Edelstein,107996769
Lex Shrapnel,35168677
Brian Whitaker,100240
Albert Maysles,5355376
Hill Harper,19971678
Charlie Talbert,70235322
Naomi Nishida,10037390
Dan Fogler,66889316
Scott Lawrence,47553512
Jeff Bridges,62037086
Brendon Eggertsen,53884821
Valeria Golino,76856614
Shawnee Smith,47125054
Rupert Everett,143545969
Richard Masur,13782838
David Thewlis,3442820
Mike Brett,4914
Sofie Gråbøl,77413017
Damon Wayans Jr.,94326607
Caitlin Stasey,19059018
Peyman Moaadi,7098492
Ann-Margret,84078591
Dania Ramirez,39201473
Martin Henderson,37180580
Numan Acar,3093491
Telly Savalas,22800000
Courtney B. Vance,85014134
Rob Moran,91005487
Ariane Labed,8114507
Jamie Draven,21994911
Coyote Shivers,58936
Wendell Pierce,29013103
Kim Shaw,30582404
Ulrich Thomsen,16313658
Claudia Stedelin,6482195
Deborah Foreman,12947763
Scott Elrod,51896038
Michaela Watkins,17536788
Tommy the Clown,3278611
George Lopez,15056878
Dickie Jones,84300000
