id,gross2016
432,46024890
433,652526
434,15557042
435,45913462
436,17654298
437,41580774
438,0
439,0
440,50826065
441,44484065
442,0
443,22494487
444,63662796
445,2531299
446,177063850
449,46186699
450,18305483
451,112695225
452,112562
453,4171527
454,43095600
455,51929759
456,45002379
458,0
459,15962758
460,70209369
462,647929
463,46672874
464,6560675
465,90962611
466,1130981
467,8326035
468,13746804
472,18595625
473,2378355
474,728174882
475,35607685
476,832367
477,42061797
478,0
480,10188285
481,184926004
482,337
483,92905711
484,25121220
486,63393259
487,17572246
488,2930733
489,1900366
490,86556874
491,30542895
492,89826806
493,40244008
495,13483
496,785081
497,54132531
498,70948738
499,159084531
500,0
501,78886978
502,170821780
504,67136701
506,26789927
507,3707794
508,282906
509,118065822
510,19533620
512,28826089
513,178431
514,0
516,36883539
517,14015214
518,0
519,35264321
522,65073087
523,48660417
525,23308763
526,82183
528,62411127
529,21511867
530,50450985
531,95868766
533,25368260
534,9676592
535,206238051
536,13312200
537,46213693
539,5621986
540,26346022
541,14307183
542,0
543,76631216
544,1484105
545,5937146
546,19523139
547,97960719
548,0
549,2017824
550,55753657
551,88472
553,31257703
554,17687057
555,34103407
556,11939688
557,100961718
558,11039226
559,41229
560,4165811
561,104599270
562,97950976
563,68
564,67238793
565,59598
566,15283867
567,15438386
570,179999462
571,4
572,7546280
573,114151644
574,0
576,28772527
577,47897436
578,14753755
579,46238628
580,18474627
581,2580403
582,0
583,28915267
585,35709875
587,0
588,3890499
589,18760762
590,80339059
591,0
592,19436997
593,59798271
594,0
595,274299
596,0
597,13407833
598,13366720
599,1139427
600,50169847
601,7659900
602,115399342
603,20873517
604,182756836
605,8138644
606,820511
607,97411159
608,252168
609,0
610,14422537
611,0
613,12652484
614,1239601
615,16218095
616,0
617,49572962
618,0
619,63006
620,40114411
621,611332
622,0
623,72507
624,68048529
625,0
627,37350383
628,6834069
629,164756139
631,40825512
632,17550235
633,0
635,34835040
636,54043931
637,143735931
638,3422610
639,12899702
640,125169475
641,12782628
642,13767094
643,5895401
644,3340
645,7783851
646,3748428
647,7881
648,96230
649,634277
650,58789735
651,6206621
652,0
653,49667156
655,0
656,0
657,40828121
659,13162150
660,164676
661,25296447
662,175689
663,19672
664,134063
665,36553148
666,16027866
667,48240260
668,38818
669,121215167
670,45965629
671,63661518
672,4705
674,16575
675,96789698
676,16373037
677,54864036
678,3766595
679,32147004
680,113078953
681,1114044
682,96484159
684,69918876
685,81146959
686,11496087
687,47095816
688,31581494
689,0
691,78801225
693,141361043
694,0
696,40583607
697,204020646
698,102724055
699,65308492
700,1960522
701,24202950
702,21568502
703,8076025
704,86959
705,6094
706,30241978
707,0
708,30653283
709,12918089
710,101439
711,69571073
712,66628249
714,123042855
715,23937188
716,27990
717,15515887
718,86638484
719,65644065
720,79545643
721,6718860
722,7684672
724,47094980
726,95760723
727,35921115
728,108354686
730,77577875
731,29822453
732,62319
733,49337214
735,538164
736,101614335
737,141912463
738,279308545
739,76857743
740,13422409
741,29853998
743,56219369
744,23308763
745,34272468
747,72079718
748,30162024
749,10132823
750,114746
751,41910466
752,106765264
753,96197618
754,9229454
755,55856534
756,17495640
757,183310489
758,71436753
759,14255101
760,31633238
762,193419800
764,1068392
765,391605009
766,3934407
767,364980
768,53222318
769,382796
770,7580320
771,126745923
772,52371602
773,1275
775,40858512
776,3188
777,13787820
778,4443403
779,2019349
782,10123268
783,45773932
784,117838316
785,38372662
787,2892142
788,328356
790,385695
791,26199456
792,557280
